,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
46,2012-03-23,Tuggeranong,8.5,17.6,0.0,,,W,52.0,W,WNW,19.0,28.0,50.0,48.0,1003.0,1003.2,,,13.2,16.1,No,No
47,2014-03-15,CoffsHarbour,16.8,27.7,0.0,2.6,,NE,43.0,NW,NE,15.0,30.0,70.0,61.0,1015.2,1011.0,0.0,4.0,23.2,24.9,No,No
48,2016-07-17,Bendigo,0.0,13.6,0.2,,,N,26.0,ESE,NNE,7.0,13.0,99.0,67.0,1029.8,1026.4,8.0,,4.4,13.3,No,No
49,2010-12-16,PerthAirport,17.3,33.9,0.0,9.8,11.9,ESE,57.0,E,SSE,17.0,19.0,37.0,15.0,1012.5,1007.9,7.0,1.0,22.5,33.2,No,No
50,2013-04-24,SydneyAirport,12.2,22.9,0.0,3.6,10.8,W,35.0,W,SE,24.0,22.0,50.0,37.0,1018.8,1015.9,1.0,1.0,17.1,20.7,No,No
51,2011-08-19,Sale,3.5,15.3,1.0,0.8,2.9,E,24.0,W,E,9.0,19.0,90.0,81.0,1022.9,1024.7,7.0,6.0,11.0,14.8,No,No
52,2014-11-07,Newcastle,15.5,23.1,0.2,,,,,SE,SE,4.0,9.0,70.0,59.0,,,7.0,4.0,19.8,21.9,No,No
53,2010-07-31,Hobart,6.2,15.6,0.0,1.0,2.4,NW,44.0,NW,NW,20.0,13.0,71.0,43.0,1002.1,1003.2,7.0,4.0,9.8,15.4,No,No
54,2013-08-27,Perth,8.5,16.8,3.4,3.0,1.2,NW,26.0,NE,WNW,11.0,4.0,91.0,83.0,1015.0,1012.4,7.0,7.0,11.8,15.0,Yes,Yes
55,2017-02-14,MountGinini,5.3,18.6,0.0,,,W,22.0,NE,N,6.0,6.0,95.0,46.0,,,,,9.3,17.3,No,No
56,2014-04-20,Darwin,23.1,32.7,8.6,6.2,11.0,ESE,37.0,ESE,E,19.0,22.0,72.0,46.0,1010.6,1007.4,3.0,6.0,26.8,32.1,Yes,No
57,2016-01-26,Hobart,14.0,19.7,0.0,6.2,2.5,ESE,33.0,WSW,SE,7.0,19.0,63.0,46.0,1023.5,1023.5,7.0,7.0,15.8,19.0,No,No
58,2013-05-24,Hobart,5.7,17.3,0.0,1.2,5.2,WNW,59.0,N,NNW,11.0,30.0,63.0,46.0,1017.5,1015.7,,,10.9,16.5,No,No
59,2009-11-22,Ballarat,11.9,17.1,44.4,,,WSW,63.0,SW,SW,39.0,22.0,99.0,87.0,,,8.0,,11.9,14.2,Yes,Yes
60,2013-07-25,Melbourne,4.1,12.4,0.0,2.0,3.3,N,70.0,N,N,31.0,31.0,75.0,60.0,1028.4,1025.0,7.0,7.0,7.8,11.6,No,No
61,2010-07-14,Sale,2.5,15.6,4.6,1.4,7.6,WNW,67.0,WNW,NW,33.0,39.0,58.0,42.0,1001.5,1001.7,1.0,5.0,10.9,13.8,Yes,No
62,2012-08-18,Albury,3.0,14.9,6.6,,,WSW,37.0,,W,0.0,20.0,99.0,74.0,1011.0,1012.5,8.0,8.0,6.7,12.8,Yes,No
63,2009-05-07,Nuriootpa,9.4,15.7,0.0,2.2,3.8,SSE,28.0,ESE,S,11.0,20.0,78.0,64.0,1031.1,1029.5,6.0,8.0,12.6,14.6,No,No
64,2014-06-15,Nuriootpa,3.7,14.1,0.6,0.9,3.9,SW,33.0,SW,WSW,7.0,17.0,100.0,78.0,1025.5,1023.9,8.0,7.0,8.8,12.8,No,No
65,2009-02-19,Brisbane,21.7,31.6,2.2,2.0,10.3,W,31.0,SE,ENE,7.0,13.0,72.0,62.0,1009.4,1006.1,4.0,2.0,27.2,31.1,Yes,Yes
66,2014-09-14,Portland,3.1,16.0,0.0,1.0,8.3,E,30.0,NE,SE,6.0,15.0,88.0,64.0,1021.9,1019.0,,7.0,11.6,14.5,No,Yes
67,2010-11-14,AliceSprings,18.8,30.8,0.0,4.8,7.1,SSW,78.0,NNE,S,13.0,26.0,53.0,88.0,1013.2,1012.7,1.0,8.0,26.7,20.7,No,Yes
68,2017-03-12,Perth,18.5,24.8,0.0,11.2,0.5,NE,37.0,E,WNW,11.0,9.0,48.0,87.0,1011.2,1008.5,7.0,8.0,21.4,20.7,No,Yes
69,2013-03-12,Mildura,20.6,38.1,0.0,12.0,11.4,N,48.0,NNE,NNE,15.0,28.0,38.0,16.0,1014.4,1010.9,1.0,1.0,25.6,36.3,No,No
70,2009-12-22,Darwin,23.8,33.6,2.2,7.4,3.5,SW,52.0,SW,WSW,15.0,17.0,87.0,56.0,1011.7,1008.5,7.0,7.0,26.9,33.5,Yes,Yes
71,2013-04-12,Tuggeranong,10.4,24.6,0.0,,,W,46.0,W,WSW,6.0,9.0,70.0,38.0,1026.8,1021.9,,,17.0,24.2,No,No
72,2010-05-11,Watsonia,7.3,14.2,4.2,4.6,9.4,W,54.0,NE,WSW,2.0,20.0,99.0,52.0,1013.3,1015.2,1.0,4.0,8.8,12.7,Yes,No
73,2012-01-30,Nuriootpa,17.0,24.2,0.4,4.4,7.9,WSW,61.0,W,WSW,28.0,35.0,87.0,50.0,1000.1,1003.6,8.0,6.0,17.2,22.2,No,No
74,2012-05-12,Canberra,0.1,14.4,0.0,4.6,9.0,WNW,41.0,ENE,WNW,7.0,24.0,62.0,35.0,1019.0,1015.0,3.0,,7.6,14.1,No,No
75,2015-11-13,Brisbane,19.0,28.1,0.0,6.6,12.3,NE,28.0,NE,NE,4.0,11.0,65.0,56.0,1016.6,1012.1,5.0,1.0,24.5,27.0,No,No
76,2009-04-14,Newcastle,17.5,26.5,4.0,,,,,,,0.0,0.0,95.0,61.0,,,2.0,3.0,19.5,25.5,Yes,No
77,2012-04-27,Brisbane,13.9,20.4,0.2,4.0,0.1,SSE,19.0,SW,WSW,6.0,6.0,83.0,79.0,1021.8,1019.0,8.0,8.0,16.2,19.6,No,Yes
78,2010-11-17,Richmond,16.7,22.0,0.6,4.6,,SE,26.0,SSE,NNE,11.0,13.0,85.0,74.0,1017.3,1015.7,,,17.4,19.6,No,No
79,2009-12-12,CoffsHarbour,18.1,26.5,0.0,4.0,5.4,ENE,30.0,S,E,11.0,15.0,66.0,60.0,1018.2,1015.4,7.0,4.0,22.8,25.5,No,No
80,2011-10-12,BadgerysCreek,4.9,21.4,0.0,,,SE,33.0,SW,E,9.0,19.0,68.0,53.0,1017.7,1016.0,,,14.3,19.8,No,No
81,2012-04-24,Mildura,6.4,17.0,0.8,3.8,6.2,SW,48.0,WSW,SSW,17.0,24.0,85.0,51.0,1019.0,1018.5,7.0,7.0,10.6,15.8,No,No
82,2015-08-13,Canberra,0.5,12.2,4.0,,,W,52.0,NW,WNW,22.0,33.0,74.0,56.0,1016.3,1017.3,,,7.5,10.6,Yes,No
83,2011-09-18,Hobart,8.1,17.6,0.0,4.6,9.9,SE,31.0,NE,WNW,11.0,19.0,48.0,37.0,1012.9,1014.9,,,13.6,17.1,No,No
84,2012-01-16,Watsonia,12.3,32.2,0.0,6.6,13.6,N,52.0,NNE,N,17.0,22.0,52.0,31.0,1018.0,1015.1,1.0,1.0,23.5,30.7,No,No
85,2015-09-13,Dartmoor,10.1,25.1,0.0,5.0,9.0,NNE,44.0,N,NNE,4.0,24.0,60.0,40.0,1023.2,1018.1,,,16.1,23.4,No,No
86,2009-03-01,Wollongong,21.0,25.3,0.0,,,SE,31.0,E,E,11.0,13.0,68.0,63.0,1011.2,1011.1,7.0,,22.6,25.1,No,No
87,2017-01-28,Richmond,17.4,39.1,0.0,,,ENE,33.0,NNE,ENE,7.0,19.0,78.0,32.0,1015.8,1010.7,,,23.1,37.7,No,No
88,2009-05-16,Townsville,16.3,28.9,0.0,5.2,9.1,ENE,39.0,SE,ENE,9.0,26.0,59.0,38.0,1017.6,1014.3,1.0,6.0,23.6,26.9,No,No
89,2009-12-29,Wollongong,18.2,23.5,1.4,,,S,31.0,SSE,SSE,19.0,20.0,83.0,70.0,1021.8,1022.1,,,21.7,23.1,Yes,No
90,2009-12-02,SalmonGums,12.9,,1.0,,,,,SW,S,17.0,31.0,60.0,36.0,,,,,18.4,20.8,No,No
91,2009-01-17,Hobart,10.0,20.1,0.6,6.4,8.6,W,56.0,SW,ESE,22.0,22.0,48.0,51.0,1021.4,1020.4,6.0,4.0,13.0,17.1,No,No
92,2013-10-03,Wollongong,13.4,17.6,0.0,,,S,65.0,SSW,WSW,31.0,28.0,49.0,57.0,1011.4,1015.6,8.0,8.0,16.2,12.5,No,No
93,2013-09-23,MountGinini,3.6,15.4,0.2,,,WNW,48.0,NW,WNW,13.0,17.0,68.0,36.0,,,,,8.8,14.8,No,No
94,2012-04-30,Brisbane,16.9,24.6,0.0,3.0,8.2,SE,35.0,SSW,SE,6.0,13.0,67.0,55.0,1023.2,1020.5,1.0,2.0,21.3,23.5,No,No
95,2015-10-14,Adelaide,8.0,30.4,0.0,,,W,26.0,NW,W,6.0,11.0,49.0,20.0,1021.7,1017.6,,,16.2,29.3,No,No
96,2017-05-31,Bendigo,1.1,12.0,0.2,,,S,31.0,SSW,S,11.0,13.0,74.0,60.0,1032.7,1032.6,,8.0,7.4,11.0,No,No
97,2015-02-06,Watsonia,13.4,37.4,0.0,8.2,11.9,NNW,28.0,NE,NW,6.0,11.0,71.0,21.0,1025.3,1020.9,0.0,5.0,19.1,35.0,No,No
98,2011-03-28,Williamtown,14.8,24.3,3.8,2.0,3.5,SE,30.0,WSW,SSE,9.0,17.0,95.0,82.0,1026.2,1025.3,4.0,7.0,17.4,21.8,Yes,No
99,2012-11-19,PerthAirport,12.4,25.3,0.0,8.0,12.0,SW,41.0,SSW,WSW,11.0,26.0,50.0,47.0,1013.3,1013.0,1.0,1.0,22.5,23.5,No,No
100,2010-11-15,Darwin,23.4,33.5,15.4,7.8,9.1,WNW,33.0,SSE,WNW,2.0,26.0,71.0,60.0,1011.2,1007.0,3.0,5.0,29.8,32.3,Yes,Yes
101,2011-03-12,SydneyAirport,20.7,28.2,1.6,3.2,9.8,NNE,37.0,NW,ENE,4.0,24.0,86.0,59.0,1020.9,1019.1,2.0,3.0,22.7,27.2,Yes,No
102,2011-07-23,Williamtown,9.2,14.4,,,,SW,35.0,SW,SW,26.0,22.0,93.0,78.0,1019.3,1018.3,8.0,8.0,10.5,13.4,,Yes
103,2011-07-05,Launceston,6.2,8.7,18.6,,,WSW,48.0,NNW,W,13.0,13.0,87.0,60.0,987.9,991.5,,,6.7,8.4,Yes,No
104,2014-12-18,Moree,25.8,36.5,0.6,14.6,,WSW,74.0,NNE,SW,35.0,54.0,45.0,11.0,1007.0,1004.7,7.0,7.0,28.6,35.2,No,No
105,2009-07-12,AliceSprings,9.3,28.1,0.0,5.8,10.3,NNW,48.0,W,NW,7.0,28.0,48.0,14.0,1016.3,1011.5,0.0,1.0,15.3,27.7,No,No
106,2012-10-25,MountGinini,7.3,16.6,0.0,,,WNW,69.0,NW,WNW,30.0,31.0,53.0,37.0,,,,,10.7,16.0,No,No
107,2013-07-15,Wollongong,13.9,17.7,1.8,,,NNW,26.0,N,N,19.0,4.0,76.0,71.0,1024.3,1021.6,8.0,8.0,15.6,17.3,Yes,No
108,2014-07-12,Penrith,1.1,18.5,0.0,,,SW,43.0,SE,SW,2.0,11.0,78.0,35.0,,,,,5.9,17.4,No,No
109,2014-08-01,Witchcliffe,2.7,15.7,0.0,,,N,31.0,E,NNW,11.0,17.0,69.0,54.0,1028.4,1024.1,,,8.1,14.1,No,Yes
110,2008-11-23,Melbourne,8.2,18.2,15.2,4.6,5.4,SSW,63.0,SSW,S,37.0,33.0,74.0,60.0,1003.9,1004.1,7.0,7.0,14.9,16.9,Yes,No
111,2009-05-15,Melbourne,14.0,19.7,0.0,4.0,0.0,WNW,70.0,NNW,NW,31.0,26.0,67.0,54.0,1009.1,1005.5,7.0,7.0,15.5,19.2,No,No
112,2011-12-01,Cobar,11.1,24.8,5.6,4.2,,SE,43.0,SE,S,22.0,22.0,43.0,20.0,1020.1,1017.5,0.0,0.0,16.7,23.2,Yes,No
113,2010-09-02,Williamtown,13.4,22.4,1.6,3.4,6.2,SSW,31.0,N,ESE,7.0,20.0,91.0,71.0,1015.7,1013.5,6.0,5.0,16.0,20.0,Yes,Yes
114,2009-01-14,Newcastle,18.6,35.2,0.0,,,,,NE,NE,4.0,22.0,74.0,35.0,,,0.0,0.0,23.0,34.4,No,No
115,2009-11-03,Cobar,21.3,38.3,0.0,12.6,11.3,SW,56.0,NW,WNW,20.0,24.0,18.0,10.0,1013.8,1010.3,6.0,7.0,31.2,37.4,No,No
116,2014-07-13,Portland,7.0,13.1,0.2,1.0,3.7,W,31.0,WSW,SW,9.0,11.0,71.0,90.0,1032.0,1032.6,,8.0,9.8,10.1,No,No
117,2010-01-17,Woomera,15.5,27.9,0.0,18.8,13.1,S,65.0,S,SSW,31.0,35.0,50.0,23.0,1018.3,1016.1,1.0,1.0,18.2,25.8,No,No
118,2009-10-27,Cobar,11.7,23.7,25.6,4.0,5.9,SE,46.0,E,E,24.0,24.0,75.0,55.0,1020.4,1018.4,7.0,7.0,15.5,22.2,Yes,No
119,2013-04-04,Wollongong,15.0,19.1,42.4,,,SSE,37.0,SW,W,22.0,6.0,93.0,91.0,1029.1,1028.2,8.0,8.0,15.3,17.2,Yes,Yes
120,2012-05-05,Brisbane,14.8,25.2,0.0,3.6,10.2,W,22.0,SW,W,6.0,9.0,68.0,39.0,1014.8,1011.8,1.0,1.0,20.6,24.4,No,No
121,2012-10-06,NorfolkIsland,16.0,20.3,0.0,6.0,10.5,W,44.0,W,W,31.0,26.0,62.0,65.0,1020.9,1018.6,6.0,5.0,18.4,18.9,No,No
122,2011-12-27,SydneyAirport,19.4,21.7,0.2,6.8,4.7,SSE,56.0,S,S,33.0,33.0,74.0,66.0,1010.4,1011.0,6.0,7.0,20.1,20.9,No,No
123,2015-08-05,Brisbane,7.9,19.1,0.0,5.6,10.3,WNW,33.0,WSW,W,9.0,15.0,44.0,29.0,1017.2,1013.1,0.0,0.0,12.2,18.6,No,No
124,2014-11-17,Ballarat,7.4,18.6,0.4,,,WSW,41.0,WSW,WSW,19.0,20.0,99.0,43.0,1015.3,1015.7,8.0,6.0,11.2,16.7,No,No
125,2009-06-28,Bendigo,0.6,12.8,0.0,0.4,,N,24.0,,N,0.0,15.0,95.0,68.0,1006.8,1005.3,1.0,5.0,4.9,12.4,No,No
126,2010-02-25,Ballarat,11.0,28.4,0.0,,,SE,50.0,ESE,SE,30.0,19.0,65.0,34.0,1024.1,1022.1,0.0,,14.8,27.1,No,No
127,2015-05-12,Williamtown,12.1,22.4,0.0,7.2,10.2,WNW,59.0,WNW,WNW,28.0,41.0,53.0,36.0,1015.7,1011.4,0.0,0.0,17.8,21.6,No,No
128,2009-09-17,Brisbane,14.0,26.1,0.0,6.0,10.3,ENE,28.0,S,NNE,6.0,13.0,62.0,51.0,1024.8,1020.7,6.0,1.0,21.3,24.5,No,No
129,2010-11-29,Cairns,22.7,29.6,3.0,5.2,6.1,NE,33.0,SE,NE,9.0,15.0,79.0,75.0,1008.4,1004.7,7.0,5.0,26.2,28.5,Yes,Yes
130,2014-03-22,Townsville,23.3,30.0,1.8,4.2,3.7,ESE,44.0,SE,E,24.0,28.0,76.0,69.0,1013.3,1010.5,7.0,7.0,26.4,29.4,Yes,Yes
131,2010-09-11,Launceston,5.3,15.8,0.2,,,NNW,37.0,NNW,NNW,13.0,20.0,75.0,76.0,1010.2,1010.4,,,11.4,13.7,No,Yes
132,2009-01-19,SydneyAirport,17.0,27.3,0.0,11.0,12.7,NNE,59.0,N,NE,22.0,37.0,53.0,49.0,1019.2,1014.7,3.0,6.0,22.2,25.6,No,No
133,2016-03-19,Sydney,16.2,24.4,4.8,5.4,11.0,W,44.0,WSW,SE,20.0,22.0,43.0,36.0,1010.9,1011.2,1.0,1.0,18.4,23.8,Yes,No
134,2009-01-27,WaggaWagga,20.9,37.9,0.0,12.0,13.2,ENE,57.0,NE,NNE,19.0,7.0,53.0,23.0,1018.1,1014.3,1.0,2.0,25.2,36.5,No,No
135,2008-09-21,Darwin,22.8,33.4,0.0,7.0,10.7,N,37.0,N,NNW,9.0,24.0,64.0,42.0,1013.0,1009.0,2.0,1.0,28.9,32.7,No,No
136,2012-05-02,SydneyAirport,12.4,25.5,0.0,3.6,9.0,WNW,37.0,NW,NE,11.0,19.0,67.0,53.0,1023.0,1018.1,1.0,5.0,17.0,23.4,No,No
137,2011-07-27,Ballarat,-2.2,10.1,0.0,,,N,39.0,NNE,N,2.0,28.0,99.0,67.0,1029.0,1026.9,0.0,,2.5,9.1,No,No
138,2011-07-15,Sydney,5.6,13.2,0.8,2.0,0.6,S,39.0,W,S,26.0,13.0,64.0,84.0,1034.7,1032.4,,,7.5,12.7,No,Yes
139,2009-11-12,SalmonGums,19.6,32.3,4.8,,,WNW,39.0,NNE,W,13.0,15.0,47.0,45.0,,,,,29.0,28.2,Yes,No
140,2009-12-11,Albury,9.2,22.6,1.0,,,SW,41.0,WSW,SW,19.0,20.0,62.0,30.0,1016.9,1016.3,6.0,3.0,12.8,21.0,No,No
141,2012-03-19,Nuriootpa,14.9,28.6,0.0,7.2,9.9,NE,41.0,NE,NE,13.0,24.0,65.0,32.0,1018.3,1014.0,6.0,2.0,18.7,27.5,No,No
142,2015-10-31,Katherine,23.5,38.0,0.0,10.4,,NW,39.0,ENE,NNE,9.0,9.0,67.0,,1013.7,1008.0,7.0,,28.0,,No,No
143,2016-01-08,Tuggeranong,8.9,29.1,0.0,,,ENE,30.0,NW,W,7.0,11.0,70.0,31.0,1018.9,1015.9,,,16.7,27.5,No,No
144,2012-08-26,Mildura,7.0,15.5,0.0,2.6,6.5,SSW,30.0,SSW,SSW,11.0,11.0,87.0,40.0,1024.6,1023.3,7.0,2.0,10.0,14.4,No,No
145,2011-05-02,Canberra,9.6,16.2,0.0,1.8,0.2,NNW,20.0,,NNW,0.0,9.0,83.0,72.0,1017.9,1015.9,6.0,7.0,12.7,14.8,No,No
146,2013-04-23,CoffsHarbour,10.6,25.4,0.0,3.6,10.9,SE,20.0,NW,SE,9.0,13.0,50.0,37.0,1013.5,1011.4,0.0,0.0,21.6,24.3,No,No
147,2016-12-03,Townsville,22.7,33.5,0.0,10.0,,ENE,37.0,NNW,ENE,9.0,26.0,54.0,57.0,1013.6,1011.5,,,30.4,31.2,No,No
148,2011-10-04,Williamtown,10.9,19.7,1.4,4.4,8.3,SW,39.0,W,S,11.0,26.0,83.0,48.0,1024.2,1022.8,7.0,5.0,13.4,17.8,Yes,No
149,2016-06-06,Nhil,7.0,14.9,0.6,,,WSW,54.0,WNW,W,22.0,39.0,89.0,75.0,1001.8,1001.8,,,10.2,14.0,No,Yes
150,2011-01-13,Perth,19.8,34.1,0.0,12.0,12.2,SSW,44.0,NW,SW,9.0,26.0,22.0,59.0,997.2,998.0,1.0,1.0,31.7,26.6,No,No
